,Mean Price,Median Price,Normalised Median House Price,Normalised Mean House Price,Facility No Outlier
0,443428.571,460000,0.1541503363652545,0.1783455289594444,0.24
1,163250.0,163250,0.02879173160098855,0.031129852412253505,0.26666666666666666
2,431016.667,416000,0.14859695316983515,0.1565174252759519,0.8266666666666667
3,991750.0,880500,0.39948247956398797,0.3869527471164579,0.6177777777777778
4,469630.435,495500,0.16587367802389638,0.19595683988589854,0.3511111111111111
5,360812.5,401250,0.11718592700767543,0.14920004960932656,0.6444444444444445
6,1496727.273,1582500,0.6254214089939044,0.73521021952127,0.6044444444444445
7,290000.0,290000,0.08550271808778417,0.0940096738186779,0.13777777777777778
8,2127833.333,2075000,0.9077933793323252,0.9795361527967258,0.7688888888888888
9,655175.0,632500,0.24889076140388353,0.2639216172640456,0.5911111111111111
10,126300.0,135500,0.01225941640819093,0.017363264293687213,0.3111111111111111
11,245142.857,234500,0.06543255768928903,0.06647649758154534,0.6088888888888889
12,592846.154,550000,0.2210033425222775,0.22299392285749722,0.6
13,609903.846,567500,0.2286353625657325,0.2316755550043408,0.9644444444444444
14,256666.667,235500,0.07058858635348154,0.06697259084707925,0.25333333333333335
15,583812.5,530250,0.21696146930791546,0.21319608086320227,0.4088888888888889
16,219000.0,221500,0.05373561717604856,0.06002728512960437,0.4222222222222222
17,1082357.143,1135000,0.4400222859725099,0.5132084831948406,0.5022222222222222
18,312764.706,310000,0.09568819291493902,0.10393153912935632,0.6488888888888888
19,630750.0,608750,0.23796243126629,0.25213940220761505,0.6
20,195833.333,205000,0.0433702953679137,0.05184174624829468,0.32
21,1512500.0,1477750,0.6324785049130911,0.6832444499565918,0.5111111111111111
22,212750.0,212750,0.05093921744790282,0.05568646905618256,0.4266666666666667
23,407125.0,421500,0.13790724899323537,0.15924593823638844,0.4266666666666667
24,368557.69200000004,368750,0.12065131145619329,0.13307701847947415,1.0
25,658142.8570000001,629000,0.25021865172515967,0.2621852908346769,0.48
26,315833.333,279250,0.09706117014831192,0.08867667121418826,0.72
27,487750.0,521250,0.17398080548631542,0.208731241473397,0.2311111111111111
28,103250.0,100500,0.0019462942107894357,0.0,0.16
29,838607.1429999999,850750,0.330962696574826,0.3721939724668238,0.5511111111111111
30,235833.333,269000,0.06126725362804644,0.08359171524246559,0.3288888888888889
31,559468.75,533500,0.20606949236678782,0.2148083839761875,0.72
32,357333.333,335500,0.11562926434319963,0.11658191740047129,0.19555555555555557
33,922638.8890000001,890250,0.368560512842028,0.39178965645541364,0.72
34,782708.333,763500,0.3059522298407988,0.3289098350489892,0.9288888888888889
35,262166.667,250000,0.07304941811424981,0.0741659431973211,0.6888888888888889
36,157125.0,161750,0.026051259867405724,0.030385712513952622,0.27555555555555555
37,644136.364,695000,0.24395181121036355,0.2949274463599157,0.48
38,1175277.778,1121000,0.48159720412501067,0.5062631774773657,0.52
39,368250.0,365750,0.12051364268416885,0.13158873868287238,0.09777777777777778
40,866875.0,885000,0.3436104129956361,0.38918516681136056,0.4
41,810300.0,819250,0.31829740265646084,0.3565670346025053,0.5066666666666667
