,lga,Median House Price,Mean House Price,Normalised Median House Price,Normalised Mean House Price,Crime Rate,Facility Tally,Greenspace Tally,Greenspace_area,Response Time,School Tally,(LGA Area),(LGA Population),(Num suburbs)
0,ALPINE,460000,443428.571,0.1783455289594444,0.1541503363652545,47.1,67,0,0.0,1219,83,4788.2,12812,7
1,ARARAT,163250,163250.0,0.031129852412253505,0.02879173160098855,143.9,73,0,0.0,875,80,4211.1,11844,2
2,BALLARAT,416000,431016.667,0.1565174252759519,0.14859695316983515,140.2,199,0,0.0,618,78,739.0,109504,30
3,BANYULE,880500,991750.0,0.3869527471164579,0.39948247956398797,75.7,152,200,0.0004632394800000002,594,59,62.5,131640,18
4,BASS COAST,495500,469630.435,0.19595683988589854,0.16587367802389638,75.5,92,0,0.0,842,58,865.8,36315,23
5,BAW BAW,401250,360812.5,0.14920004960932656,0.11718592700767543,77.8,158,0,0.0,842,58,4027.6,53394,8
6,BAYSIDE,1582500,1496727.273,0.73521021952127,0.6254214089939044,44.3,149,173,0.000438298538,630,56,37.2,106856,11
7,BENALLA,290000,290000.0,0.0940096738186779,0.08550271808778417,142.6,44,0,0.0,903,52,2352.6,14034,1
8,BOROONDARA,2075000,2127833.333,0.9795361527967258,0.9077933793323252,25.8,186,210,0.00034962658999999983,616,51,60.2,183197,12
9,BRIMBANK,632500,655175.0,0.2639216172640456,0.24889076140388353,126.9,146,233,0.0008430551681069999,613,50,123.4,209568,20
10,BULOKE,135500,126300.0,0.017363264293687213,0.01225941640819093,146.4,83,0,0.0,1389,49,8000.4,6123,5
11,CAMPASPE,234500,245142.857,0.06647649758154534,0.06543255768928903,95.7,150,0,0.0,824,49,4518.9,37615,7
12,CARDINIA,550000,592846.154,0.22299392285749722,0.2210033425222775,72.9,148,439,0.0151572361852,741,47,1282.6,112179,13
13,CASEY,567500,609903.846,0.2316755550043408,0.2286353625657325,107.3,230,1393,0.002150234803913901,630,47,409.4,353962,26
14,CENTRAL GOLDFIELDS,235500,256666.667,0.06697259084707925,0.07058858635348154,235.0,70,0,0.0,885,45,1532.8,13182,3
15,COLAC OTWAY,530250,583812.5,0.21319608086320227,0.21696146930791546,102.2,105,0,0.0,904,45,3437.5,21562,8
16,CORANGAMITE,221500,219000.0,0.06002728512960437,0.05373561717604856,37.3,108,0,0.0,1102,44,4407.5,16017,7
17,DAREBIN,1135000,1082357.143,0.5132084831948406,0.4400222859725099,98.4,126,127,0.00042376631000000034,583,43,53.5,164224,7
18,EAST GIPPSLAND,310000,312764.706,0.10393153912935632,0.09568819291493902,146.8,159,0,0.0,914,43,20940.2,47308,17
19,FRANKSTON,608750,630750.0,0.25213940220761505,0.23796243126629,153.3,148,458,0.001437046331,585,42,129.6,142645,8
20,GANNAWARRA,205000,195833.333,0.05184174624829468,0.0433702953679137,104.7,85,0,0.0,1130,42,3735.3,10469,3
21,GLEN EIRA,1477750,1512500.0,0.6832444499565918,0.6324785049130911,41.3,128,116,0.00024018240000000005,588,40,38.7,156535,14
22,GLENELG,212750,212750.0,0.05568646905618256,0.05093921744790282,137.3,109,0,0.0,783,39,6218.6,19671,6
23,GOLDEN PLAINS,421500,407125.0,0.15924593823638844,0.13790724899323537,51.3,109,0,0.0,1126,38,2703.4,23722,4
24,GREATER BENDIGO,368750,368557.69200000004,0.13307701847947415,0.12065131145619329,121.3,238,0,0.0,708,37,3000.0,118091,26
25,GREATER DANDENONG,629000,658142.8570000001,0.2621852908346769,0.25021865172515967,138.4,121,224,0.0005041275177999999,580,35,129.5,168261,7
26,GREATER GEELONG,552500,588964.286,0.224234156021332,0.21926650178309384,107.7,357,0,0.0,663,35,1248.0,258938,42
27,GREATER SHEPPARTON,279250,315833.333,0.08867667121418826,0.09706117014831192,185.7,175,0,0.0,640,35,2421.9,66501,6
28,HEPBURN,521250,487750.0,0.208731241473397,0.17398080548631542,69.3,65,0,0.0,1108,35,1473.0,15973,6
29,HINDMARSH,100500,103250.0,0.0,0.0019462942107894357,232.7,49,0,0.0,1209,33,7524.2,5586,4
30,HOBSONS BAY,850750,838607.1429999999,0.3721939724668238,0.330962696574826,82.5,137,156,0.0004109348345,634,31,64.2,97765,14
31,HORSHAM,269000,235833.333,0.08359171524246559,0.06126725362804644,140.7,87,0,0.0,633,31,4266.8,19920,3
32,HUME,533500,559468.75,0.2148083839761875,0.20606949236678782,127.7,175,373,0.0009504793600000002,627,29,503.9,233545,16
33,INDIGO,335500,357333.333,0.11658191740047129,0.11562926434319963,36.0,57,0,0.0,1261,28,2040.1,16699,6
34,KINGSTON,890250,922638.8890000001,0.39178965645541364,0.368560512842028,64.5,175,283,0.0008596848099999999,594,28,91.4,165804,18
35,KNOX,763500,782708.333,0.3289098350489892,0.3059522298407988,94.1,222,527,0.0007301626350000005,579,27,113.9,164553,12
36,LATROBE,250000,262166.667,0.0741659431973211,0.07304941811424981,246.7,168,0,0.0,675,26,1425.6,75553,12
