lga,Median House Price,Mean House Price,Normalised Median House Price,Normalised Mean House Price,Crime Rate,Facility Tally,Greenspace Tally,Greenspace_area,Response Time,School Tally,(LGA Area),(LGA Population),(Num suburbs),living standard LR,living standard NMI
ALPINE,460000,443428.571,0.1783455289594444,0.1541503363652545,0.8090798540737738,0.1569767441860465,0.0,0.0,0.4230769230769231,1.0,4788.2,12812,7,0.2271870209267932,2.2790178564512082
ARARAT,163250,163250.0,0.031129852412253505,0.02879173160098855,0.4167004458856911,0.1744186046511628,0.0,0.0,0.7107023411371237,0.9625,4211.1,11844,2,0.228108181404968,2.156227507844175
BALLARAT,416000,431016.667,0.1565174252759519,0.14859695316983515,0.4316984191325497,0.5406976744186046,0.0,0.0,0.9255852842809364,0.9375,739.0,109504,30,0.30663808879699,2.715337431545911
BANYULE,880500,991750.0,0.3869527471164579,0.399482479563988,0.6931495743818403,0.4040697674418605,0.14357501794687724,0.005607183153217312,0.9456521739130436,0.7,62.5,131640,18,0.33978874243541396,2.650137192237664
BASS COAST,495500,469630.435,0.19595683988589851,0.16587367802389638,0.6939602756384272,0.2296511627906977,0.0,0.0,0.7382943143812709,0.6875,865.8,36315,23,0.28053284756827923,2.26249049206039
BAW BAW,401250,360812.5,0.14920004960932656,0.11718592700767545,0.6846372111876773,0.4215116279069768,0.0,0.0,0.7382943143812709,0.6875,4027.6,53394,8,0.2957448407091128,2.4392453058358505
BAYSIDE,1582500,1496727.273,0.73521021952127,0.6254214089939044,0.8204296716659909,0.3953488372093023,0.12419239052404883,0.005305290858096501,0.9155518394648828,0.6625,37.2,106856,11,0.35214900191765824,2.7040439085699033
BENALLA,290000,290000.0,0.0940096738186779,0.08550271808778417,0.4219700040535063,0.09011627906976744,0.0,0.0,0.6872909698996655,0.6125,2352.6,14034,1,0.21605402093332837,1.739107387612497
BOROONDARA,2075000,2127833.333,0.9795361527967258,0.9077933793323252,0.8954195379002837,0.502906976744186,0.1507537688442211,0.004231980239173083,0.927257525083612,0.6,60.2,183197,12,0.3750204237465542,2.8368436256478136
BRIMBANK,632500,655175.0,0.2639216172640456,0.24889076140388355,0.4856100526955816,0.3866279069767442,0.167264895908112,0.010204580870012107,0.9297658862876256,0.5875,123.4,209568,20,0.3040133279110209,2.3126065593780973
