,lga_id,lga_name,postal_town,postal_postcode,address_postcode
132,745,Yarra Ranges (S),Yarra Glen,3775,3775
133,26,Ararat (RC),ELMHURST,3469,3469
134,262,Greater Bendigo (C),KANGAROO FLAT,3555,3555
135,327,Hume (C),Westmeadows,3049,3049
136,327,Hume (C),SUNBURY,3429,3429
137,571,Nillumbik (S),DIAMOND CREEK,3089,3089
138,413,Macedon Ranges (S),Woodend,3442,3442
139,262,Greater Bendigo (C),AXEDALE,3551,3551
140,698,Whitehorse (C),VERMONT,3133,3133
141,394,Loddon (S),TARNAGULLA,3551,3551
142,111,Boroondara (C),BALWYN,3103,3103
143,367,Knox (C),SCORESBY,3179,3179
144,167,Central Goldfields (S),CARISBROOK,3464,3464
145,745,Yarra Ranges (S),WANDIN NORTH,3139,3139
146,745,Yarra Ranges (S),Coldstream,3770,3770
147,241,Glenelg (S),DARTMOOR,3304,3304
148,327,Hume (C),MICKLEHAM,3064,3064
149,394,Loddon (S),INGLEWOOD,3517,3517
150,543,Mount Alexander (S),CHEWTON,3451,3451
151,413,Macedon Ranges (S),BOLINDA,3432,3432
152,249,Golden Plains (S),NAPOLEONS,3352,3352
153,111,Boroondara (C),KEW,3101,3101
154,249,Golden Plains (S),HADDON,3351,3351
155,549,Moyne (S),PANMURE,3265,3265
156,534,Mornington Peninsula (S),SORRENTO,3943,3943
157,57,Ballarat (C),ALFREDTON,3350,3350
158,394,Loddon (S),BRIDGEWATER,3516,3516
159,534,Mornington Peninsula (S),HASTINGS,3915,3915
160,335,Indigo (S),YACKANDANDAH,3749,3749
161,643,Strathbogie (S),NAGAMBIE,3608,3608
162,681,Wellington (S),HEYFIELD,3858,3858
163,343,Kingston (C),MOORABBIN,3189,3189
164,425,Mansfield (S),MANSFIELD,3724,3722
165,335,Indigo (S),Indigo Valley,3688,3688
166,681,Wellington (S),BRIAGOLONG,3860,3860
167,211,East Gippsland (S),LINDENOW,3865,3865
168,485,Mitchell (S),BROADFORD,3658,3658
169,283,Greater Shepparton (C),MURCHISON,3610,3610
170,571,Nillumbik (S),PANTON HILL,3759,3759
171,515,Moorabool (S),GLEN PARK,3352,3352
172,581,Northern Grampians (S),CONCONGELLA,3384,3384
173,211,East Gippsland (S),BRUTHEN,3885,3885
174,661,Swan Hill (RC),SWAN HILL,3585,3585
175,11,Alpine (S),POREPUNKAH,3740,3740
176,275,Greater Geelong (C),LEOPOLD,3224,3224
177,249,Golden Plains (S),INVERLEIGH,3321,3321
178,111,Boroondara (C),GLEN IRIS,3146,3146
179,599,Pyrenees (S),TRAWALLA,3373,3373
180,262,Greater Bendigo (C),BENDIGO DC,3554,3550
181,57,Ballarat (C),SEBASTOPOL,3356,3356
182,681,Wellington (S),WOODSIDE,3874,3874
183,183,Corangamite (S),NOORAT,3265,3265
184,590,Port Phillip (C),ALBERT PARK,3206,3206
185,311,Hobsons Bay (C),WILLIAMSTOWN,3016,3016
186,534,Mornington Peninsula (S),RYE,3941,3939
187,608,Queenscliffe (B),QUEENSCLIFF,3225,3225
188,241,Glenelg (S),PORTLAND NORTH,3305,3305
189,167,Central Goldfields (S),TIMOR,3465,3465
190,689,West Wimmera (S),APSLEY,3319,3319
191,262,Greater Bendigo (C),STRATHFIELDSAYE,3551,3551
192,217,Frankston (C),Carrum Downs,3201,3977
193,485,Mitchell (S),TOOBORAC,3522,3522
194,211,East Gippsland (S),Bairnsdale,3875,3875
195,485,Mitchell (S),Wallan,3756,3756
196,735,Yarra (C),CARLTON NORTH,3054,3054
197,543,Mount Alexander (S),MALDON,3463,3463
198,745,Yarra Ranges (S),WOORI YALLOCK,3139,3139
199,26,Ararat (RC),Moyston,3377,3377
200,57,Ballarat (C),BUNINYONG,3357,3357
201,562,Murrindindi (S),MARYSVILLE,3779,3779
202,543,Mount Alexander (S),LANGLEY,3444,3444
203,485,Mitchell (S),WANDONG,3758,3758
204,74,Bass Coast (S),COWES,3922,3922
205,291,Hepburn (S),BULLARTO,3461,3461
206,183,Corangamite (S),LISMORE,3324,3324
207,66,Banyule (C),LOWER PLENTY,3093,3093
208,262,Greater Bendigo (C),GOLDEN SQUARE,3555,3555
209,241,Glenelg (S),BOLWARRA,3305,3305
210,581,Northern Grampians (S),NAVARRE,3384,3384
211,763,Yarriambiack (S),WARRACKNABEAL,3393,3393
212,670,Wangaratta (RC),MOYHU,3732,3732
213,599,Pyrenees (S),NATTE YALLOCK,3465,3465
214,735,Yarra (C),CLIFTON HILL,3068,3068
215,571,Nillumbik (S),CHRISTMAS HILLS,3775,3775
216,667,Towong (S),TALLANGATTA,3700,3700
217,283,Greater Shepparton (C),KIALLA,3631,3631
218,534,Mornington Peninsula (S),MOUNT ELIZA,3930,3930
219,74,Bass Coast (S),San Remo,3925,3925
220,298,Hindmarsh (S),DIMBOOLA,3414,3414
221,670,Wangaratta (RC),WHOROULY,3735,3735
222,425,Mansfield (S),Merrijig,3723,3723
223,249,Golden Plains (S),LETHBRIDGE,3332,3332
224,670,Wangaratta (RC),Oxley,3678,3678
225,189,Darebin (C),NORTHCOTE,3070,3070
226,460,Melbourne (C),NORTH MELBOURNE,3051,3051
227,267,Greater Dandenong (C),DANDENONG,3175,3175
228,413,Macedon Ranges (S),MALMSBURY,3446,3446
229,311,Hobsons Bay (C),WILLIAMSTOWN NORTH,3016,3016
230,225,Gannawarra (S),KERANG,3579,3579
231,83,Baw Baw (S),DROUIN,3818,3818
232,249,Golden Plains (S),MEREDITH,3333,3333
233,670,Wangaratta (RC),EDI UPPER,3678,3678
234,262,Greater Bendigo (C),EAGLEHAWK,3556,3556
235,283,Greater Shepparton (C),MOOROOPNA,3629,3629
236,118,Brimbank (C),CAIRNLEA,3023,3023
237,515,Moorabool (S),BALLAN,3342,3342
238,57,Ballarat (C),BALLARAT,3350,3350
239,283,Greater Shepparton (C),TATURA,3616,3616
240,283,Greater Shepparton (C),TOOLAMBA,3614,3614
241,283,Greater Shepparton (C),TATURA,3616,3616
