LGA,Median House Price - 2019
LODDON,185000
KNOX,684500
BOTANIC RIDGE *no lga*,700000
WHITEHORSE,1528000
WHITEHORSE,1200000
WHITEHORSE,1154000
MARIBYRNONG,630000
BREAKWATER *no lga*,405000
WELLINGTON,315000
BANYULE,817000
ALPINE,580000
BAYSIDE,2600000
BAYSIDE,1700000
MITCHELL,417500
HUME,526000
BROOKFIELD *no lga*,445000
HOBSONS BAY,672500
BALLARAT,449000
MORELAND,1030000
MORELAND,995500
MORELAND,1061000
EAST GIPPSLAND,229000
MANNINGHAM,1100000
BUNDALONG *no lga*,515000
WHITTLESEA,727500
BALLARAT,475000
CARDINIA,501000
BURNLEY *no lga*,1188500
BURNSIDE *no lga*,605000
MELTON,591000
WHITEHORSE,1165000
WHITEHORSE,1020000
BRIMBANK,752500
GREATER BENDIGO,289000
BOROONDARA,2100000
HUME,534500
MOUNT ALEXANDER,500000
CORANGAMITE,280000
CANADIAN *no lga*,377500
EAST GIPPSLAND,125000
BOROONDARA,2832500
CAPE PATERSON *no lga*,540000
CAPE SCHANCK *no lga*,940000
MORNINGTON PENINSULA,515000
CENTRAL GOLDFIELDS,300000
MELBOURNE,1306000
YARRA,1555000
GLEN EIRA,1310000
MELTON,620000
KINGSTON,770000
FRANKSTON,537500
GLENELG,150000
MOUNT ALEXANDER,520000
GLEN EIRA,1658000
GLEN EIRA,1372500
GLEN EIRA,2100000
GLEN EIRA,1488000
MONASH,1000000
CHARLEMONT *no lga*,465000
BULOKE,147000
KINGSTON,857500
KINGSTON,750000
BAYSIDE,1035500
CHELTENHAM EAST *no lga*,940000
CHELTENHAM NORTH *no lga*,858000
MOUNT ALEXANDER,439500
INDIGO,223500
YARRA RANGES,685000
YARRA RANGES,575000
LATROBE,185000
KINGSTON,815000
MONASH,1100500
CLAYTON NORTH *no lga*,1405000
KINGSTON,832000
YARRA,1352500
GREATER GEELONG,485000
HEPBURN,330000
CASEY,549000
CASEY,584500
COBBLEBANK *no lga*,480500
CORANGAMITE,237000
MOIRA,272500
MORELAND,931000
MORELAND,823500
COBURG NORTH *no lga*,812500
CARDINIA,580000
GANNAWARRA,205000
COLAC OTWAY,315000
YARRA RANGES,635000
SOUTHERN GRAMPIANS,136000
YARRA,1050000
CONNEWARRE *no lga*,1345000
HUME,441000
COONANS HILL *no lga*,902500
COONGULLA *no lga*,335000
BASS COAST,357500
GREATER GEELONG,354000
CORONET BAY *no lga*,365000
TOWONG,236000
BASS COAST,560000
COWES WEST *no lga*,508500
HUME,530000
CASEY,500000
CASEY,565000
CASEY,570000
CASEY,520000
CREMORNE *no lga*,1267000
HEPBURN,345000
MORNINGTON PENINSULA,527500
MAROONDAH,732500
MAROONDAH,835000
MAROONDAH,825000
MAROONDAH,716000
CURLEWIS *no lga*,560000
HUME,451500
BASS COAST,373000
GREATER DANDENONG,602000
GREATER DANDENONG,605000
DARLEY *no lga*,520000
GLENELG,157500
HEPBURN,590000
DEANSIDE *no lga*,-
BOROONDARA,2758000
BRIMBANK,550000
BALLARAT,390000
BRIMBANK,530000
WARRNAMBOOL,360000
BRIMBANK,649000
CORANGAMITE,221500
NILLUMBIK,751500
MELTON,515000
HINDMARSH,120000
KINGSTON,810000
ALPINE,520000
BULOKE,135500
MANNINGHAM,1251500
MANNINGHAM,1190000
MANNINGHAM,1121000
NILLUMBIK,597500
CASEY,470000
MORNINGTON PENINSULA,715500
BAW BAW,440000
GREATER GEELONG,572500
SOUTHERN GRAMPIANS,225000
CENTRAL GOLDFIELDS,234500
EAST GIPPSLAND,360000
GREATER BENDIGO,321500
EAGLEMONT *no lga*,1799000
EAST BAIRNSDALE *no lga*,235000
EAST BENDIGO *no lga*,390000
GREATER GEELONG,625000
EAST MELBOURNE *no lga*,3413500
EAST WARBURTON *no lga*,446500
EAST GIPPSLAND,410000
CAMPASPE,370000
WEST WIMMERA,173000
KINGSTON,954000
MURRINDINDI,251500
COLAC OTWAY,445000
GREATER BENDIGO,235000
GLEN EIRA,1750000
NILLUMBIK,925000
NILLUMBIK,930000
PORT PHILLIP,1952500
CARDINIA,660000
CASEY,620000
WHITTLESEA,550000
GREATER BENDIGO,371500
MOONEE VALLEY,1447000
MOONEE VALLEY,1100000
ESSENDON WEST *no lga*,1160000
EUMEMMERRING *no lga*,540000
EUREKA *no lga*,360000
STRATHBOGIE,309000
EYNESBURY *no lga*,558500
DAREBIN,1290000
FAIRHAVEN *no lga*,1395000
MORELAND,665000
KNOX,692000
YARRA RANGES,733000
FINGAL *no lga*,1240000
