thier_code, opstt_code, name, railst_pid, state_pid
501,3,"CARINA STATION","VIC16208718","2"
501,1,"FERNTREE GULLY STATION","VIC16208719","2"
501,1,"NUMURKAH STATION","VIC16208720","2"
501,8,"YABBA NORTH STATION","VIC16208721","2"
501,3,"EMU STATION","VIC16208722","2"
501,3,"DOBIE STATION","VIC16208723","2"
501,8,"LYONVILLE STATION","VIC16208724","2"
501,1,"BROADFORD STATION","VIC16208725","2"
501,1,"OAK PARK STATION","VIC16208726","2"
501,1,"NYORA STATION","VIC16208727","2"
501,3,"BRANXHOLME STATION","VIC16208728","2"
501,1,"THOMASTOWN STATION","VIC16208729","2"
501,3,"NEWSTEAD STATION","VIC16208730","2"
501,8,"MURCHISON STATION","VIC16208731","2"
501,3,"LITCHFIELD STATION","VIC16208732","2"
501,8,"PYALONG STATION","VIC16208733","2"
501,3,"COCAMBA STATION","VIC5579918","2"
501,3,"ALBACUTYA STATION","VIC5579946","2"
501,3,"YATPOOL STATION","VIC5580005","2"
501,8,"HENTY STATION","VIC5580049","2"
501,3,"GREENWALD STATION","VIC5580070","2"
501,3,"COBDEN STATION","VIC5580083","2"
501,3,"YEA STATION","VIC5580135","2"
501,3,"WAHRING STATION","VIC5580143","2"
501,3,"WOODFIELD STATION","VIC5580160","2"
501,3,"ST JAMES STATION","VIC5580208","2"
501,8,"RUSHWORTH STATION","VIC5580255","2"
501,3,"COWWARR STATION","VIC5580269","2"
501,3,"KORONG VALE STATION","VIC5580358","2"
501,1,"KANYAPELLA STATION","VIC5580414","2"
501,1,"MACEDON STATION","VIC5580436","2"
501,1,"RINGWOOD EAST STATION","VIC5580496","2"
501,1,"JOLIMONT STATION","VIC5580500","2"
501,1,"ST KILDA STATION","VIC5580530","2"
501,1,"CAULFIELD STATION","VIC5580541","2"
501,1,"SELBY STATION","VIC5580555","2"
501,3,"WOOLAMAI STATION","VIC5580611","2"
501,1,"AUBURN STATION","VIC5580643","2"
501,1,"QUEENSCLIFF STATION","VIC5580667","2"
501,1,"KEON PARK STATION","VIC5580681","2"
501,1,"MIDDLE FOOTSCRAY STATION","VIC5580692","2"
501,1,"GISBORNE STATION","VIC5580730","2"
501,1,"COBURG STATION","VIC5580732","2"
501,1,"MIDDLE GORGE STATION","VIC16208736","2"
501,1,"MERNDA STATION","VIC16208735","2"
501,1,"HAWKSTOWE STATION","VIC16208734","2"
501,8,"MERINO STATION","VIC16207899","2"
501,1,"ARMADALE STATION","VIC16207900","2"
501,1,"STRATFORD STATION","VIC16207901","2"
501,3,"GAPSTED STATION","VIC16207902","2"
501,3,"KOIMBO STATION","VIC16207903","2"
501,3,"RAVENSWOOD STATION","VIC16207904","2"
501,3,"TOOLAMBA STATION","VIC16207905","2"
501,1,"BORONIA STATION","VIC16207906","2"
501,1,"HOLMESGLEN STATION","VIC16207907","2"
501,8,"BOCHARA STATION","VIC16207908","2"
501,1,"DRYSDALE STATION","VIC16207909","2"
501,1,"AIRCRAFT STATION","VIC16207910","2"
501,3,"PIRA STATION","VIC16207911","2"
501,3,"SKIPTON STATION","VIC16207912","2"
501,1,"OAKLEIGH STATION","VIC16207913","2"
501,8,"PICOLA STATION","VIC16207914","2"
501,1,"OFFICER STATION","VIC16207915","2"
501,3,"BOLTON STATION","VIC16207916","2"
501,1,"DIAMOND CREEK STATION","VIC16207917","2"
501,8,"CASTERTON STATION","VIC16207919","2"
501,1,"WILLISON STATION","VIC16207920","2"
501,1,"VIOLET TOWN STATION","VIC16207921","2"
501,1,"INGLEWOOD STATION","VIC16207922","2"
501,3,"NICHOLSON STATION","VIC16207923","2"
501,1,"BREAKWATER STATION","VIC16207924","2"
501,8,"KANAGULK STATION","VIC16207925","2"
501,3,"IRYMPLE STATION","VIC16207926","2"
501,3,"GLEN FORBES STATION","VIC16207927","2"
501,1,"BENTLEIGH STATION","VIC16207928","2"
501,3,"ARCADIA STATION","VIC16207929","2"
501,3,"LOCKSLEY STATION","VIC16207930","2"
501,1,"ALAMEIN STATION","VIC16207931","2"
501,3,"BAGSHOT STATION","VIC16207932","2"
501,3,"PEECHELBA EAST STATION","VIC16207933","2"
501,3,"MURRAYVILLE STATION","VIC16207934","2"
501,1,"MITCHAM STATION","VIC16207935","2"
501,1,"MERRI STATION","VIC16207936","2"
501,3,"MONEA STATION","VIC16207937","2"
501,3,"MYWEE STATION","VIC16207938","2"
501,1,"HOPPERS CROSSING STATION","VIC16207939","2"
501,3,"BUFFALO STATION","VIC16207940","2"
501,8,"WANNON STATION","VIC16207941","2"
501,1,"GEMBROOK STATION","VIC16207942","2"
501,3,"PRAIRIE STATION","VIC16207943","2"
