,Unnamed: 0,LGA id,LGA names,school_counts
0,0,20110,ALPINE,83
1,1,20260,ARARAT,80
2,2,20570,BALLARAT,78
3,3,20660,BANYULE,59
4,4,20740,BASS COAST,58
5,5,20830,BAW BAW,58
6,6,20910,BAYSIDE,56
7,7,21010,BENALLA,52
8,8,21110,BOROONDARA,51
9,9,21180,BRIMBANK,50
10,10,21270,BULOKE,49
11,11,21370,CAMPASPE,49
12,12,21450,CARDINIA,47
13,13,21610,CASEY,47
14,14,21670,CENTRAL GOLDFIELDS,45
15,15,21750,COLAC OTWAY,45
16,16,21830,CORANGAMITE,44
17,17,21890,DAREBIN,43
18,18,22110,EAST GIPPSLAND,43
19,19,22170,FRANKSTON,42
20,20,22250,GANNAWARRA,42
21,21,22310,GLEN EIRA,40
22,22,22410,GLENELG,39
23,23,22490,GOLDEN PLAINS,38
24,24,22620,GREATER BENDIGO,37
25,25,22670,GREATER DANDENONG,35
26,26,22750,GREATER GEELONG,35
27,27,22830,GREATER SHEPPARTON,35
28,28,22910,HEPBURN,35
29,29,22980,HINDMARSH,33
30,30,23110,HOBSONS BAY,31
31,31,23190,HORSHAM,31
32,32,23270,HUME,29
33,33,23350,INDIGO,28
34,34,23430,KINGSTON,28
35,35,23670,KNOX,27
36,36,23810,LATROBE,26
37,37,23940,LODDON,24
38,38,24130,MACEDON RANGES,24
39,39,24210,MANNINGHAM,23
40,40,24250,MANSFIELD,23
41,41,24330,MARIBYRNONG,23
42,42,24410,MAROONDAH,22
43,43,24600,MELBOURNE,22
44,44,24650,MELTON,20
45,45,24780,MILDURA,19
46,46,24850,MITCHELL,19
47,47,24900,MOIRA,18
48,48,24970,MONASH,18
49,49,25060,MOONEE VALLEY,17
50,50,25150,MOORABOOL,17
51,51,25250,MORELAND,17
52,52,25340,MORNINGTON PENINSULA,16
53,53,25430,MOUNT ALEXANDER,15
54,54,25490,MOYNE,15
55,55,25620,MURRINDINDI,15
56,56,25710,NILLUMBIK,14
57,57,25810,NORTHERN GRAMPIANS,14
58,58,25900,PORT PHILLIP,14
59,59,25990,PYRENEES,14
60,60,26080,QUEENSCLIFFE,13
61,61,26170,SOUTH GIPPSLAND,13
62,62,26260,SOUTHERN GRAMPIANS,13
63,63,26350,STONNINGTON,13
64,64,26430,STRATHBOGIE,13
65,65,26490,SURF COAST,13
66,66,26610,SWAN HILL,12
67,67,26670,TOWONG,10
68,68,26700,WANGARATTA,10
69,69,26730,WARRNAMBOOL,9
70,70,26810,WELLINGTON,9
71,71,26890,WEST WIMMERA,9
72,72,26980,WHITEHORSE,9
73,73,27070,WHITTLESEA,8
74,74,27170,WODONGA,8
75,75,27260,WYNDHAM,8
76,76,27350,YARRA,7
77,77,27450,YARRA RANGES,5
78,78,27630,YARRIAMBIACK,3
79,79,29399,UNINCORPORATED VIC,2
