,LGA id,LGA names
0,20110,ALPINE
1,20260,ARARAT
2,20570,BALLARAT
3,20660,BANYULE
4,20740,BASS COAST
5,20830,BAW BAW
6,20910,BAYSIDE
7,21010,BENALLA
8,21110,BOROONDARA
9,21180,BRIMBANK
10,21270,BULOKE
11,21370,CAMPASPE
12,21450,CARDINIA
13,21610,CASEY
14,21670,CENTRAL GOLDFIELDS
15,21750,COLAC OTWAY
16,21830,CORANGAMITE
17,21890,DAREBIN
18,22110,EAST GIPPSLAND
19,22170,FRANKSTON
20,22250,GANNAWARRA
21,22310,GLEN EIRA
22,22410,GLENELG
23,22490,GOLDEN PLAINS
24,22620,GREATER BENDIGO
25,22670,GREATER DANDENONG
26,22750,GREATER GEELONG
27,22830,GREATER SHEPPARTON
28,22910,HEPBURN
29,22980,HINDMARSH
30,23110,HOBSONS BAY
31,23190,HORSHAM
32,23270,HUME
33,23350,INDIGO
34,23430,KINGSTON
35,23670,KNOX
36,23810,LATROBE
37,23940,LODDON
38,24130,MACEDON RANGES
39,24210,MANNINGHAM
40,24250,MANSFIELD
41,24330,MARIBYRNONG
42,24410,MAROONDAH
43,24600,MELBOURNE
44,24650,MELTON
45,24780,MILDURA
46,24850,MITCHELL
47,24900,MOIRA
48,24970,MONASH
49,25060,MOONEE VALLEY
50,25150,MOORABOOL
51,25250,MORELAND
52,25340,MORNINGTON PENINSULA
53,25430,MOUNT ALEXANDER
54,25490,MOYNE
55,25620,MURRINDINDI
56,25710,NILLUMBIK
57,25810,NORTHERN GRAMPIANS
58,25900,PORT PHILLIP
59,25990,PYRENEES
60,26080,QUEENSCLIFFE
61,26170,SOUTH GIPPSLAND
62,26260,SOUTHERN GRAMPIANS
63,26350,STONNINGTON
64,26430,STRATHBOGIE
65,26490,SURF COAST
66,26610,SWAN HILL
67,26670,TOWONG
68,26700,WANGARATTA
69,26730,WARRNAMBOOL
70,26810,WELLINGTON
71,26890,WEST WIMMERA
72,26980,WHITEHORSE
73,27070,WHITTLESEA
74,27170,WODONGA
75,27260,WYNDHAM
76,27350,YARRA
77,27450,YARRA RANGES
78,27630,YARRIAMBIACK
79,29399,UNINCORPORATED VIC
