,Postcode,Suburb,LGA id,LGA names
0,3067,ABBOTSFORD,27350,YARRA
1,3040,ABERFELDIE,25060,MOONEE VALLEY
2,3231,AIREYS INLET,26490,SURF COAST
3,3851,AIRLY,26810,WELLINGTON
4,3042,AIRPORT WEST,25060,MOONEE VALLEY
5,3021,ALBANVALE,21180,BRIMBANK
6,3206,ALBERT PARK,25900,PORT PHILLIP
7,3971,ALBERTON,26810,WELLINGTON
8,3020,ALBION,21180,BRIMBANK
9,3714,ALEXANDRA,25620,MURRINDINDI
10,3350,ALFREDTON,20570,BALLARAT
11,3277,ALLANSFORD,26730,WARRNAMBOOL
12,3078,ALPHINGTON,27350,YARRA
13,3018,ALTONA,23110,HOBSONS BAY
14,3028,ALTONA MEADOWS,23110,HOBSONS BAY
15,3025,ALTONA NORTH,23110,HOBSONS BAY
16,3249,ALVIE,21750,COLAC OTWAY
17,3468,AMPHITHEATRE,25990,PYRENEES
18,3213,ANAKIE,22750,GREATER GEELONG
19,3230,ANGLESEA,26490,SURF COAST
20,3233,APOLLO BAY,21750,COLAC OTWAY
21,3319,APSLEY,26890,WEST WIMMERA
22,3377,ARARAT,20260,ARARAT
23,3022,ARDEER,21180,BRIMBANK
24,3629,ARDMONA,22830,GREATER SHEPPARTON
25,3143,ARMADALE,26350,STONNINGTON
26,3217,ARMSTRONG CREEK,22750,GREATER GEELONG
27,3099,ARTHURS CREEK,25710,NILLUMBIK
28,3032,ASCOT VALE,25060,MOONEE VALLEY
29,3147,ASHBURTON,21110,BOROONDARA
30,3147,ASHWOOD,24970,MONASH
31,3195,ASPENDALE,23430,KINGSTON
32,3195,ASPENDALE GARDENS,23430,KINGSTON
33,3664,AVENEL,26430,STRATHBOGIE
34,3467,AVOCA,25990,PYRENEES
35,3034,AVONDALE HEIGHTS,25060,MOONEE VALLEY
36,3551,AXE CREEK,22620,GREATER BENDIGO
37,3551,AXEDALE,22620,GREATER BENDIGO
38,3340,BACCHUS MARSH,25150,MOORABOOL
39,3875,BAIRNSDALE,22110,EAST GIPPSLAND
40,3342,BALLAN,25150,MOORABOOL
41,3350,BALLARAT,20570,BALLARAT
42,3350,BALLARAT EAST,20570,BALLARAT
43,3350,BALLARAT NORTH,20570,BALLARAT
44,3340,BALLIANG EAST,25150,MOORABOOL
45,3407,BALMORAL,26260,SOUTHERN GRAMPIANS
46,3926,BALNARRING,25340,MORNINGTON PENINSULA
47,3103,BALWYN,21110,BOROONDARA
48,3104,BALWYN NORTH,21110,BOROONDARA
49,3694,BANDIANA,27170,WODONGA
50,3175,BANGHOLME,22670,GREATER DANDENONG
51,3331,BANNOCKBURN,22490,GOLDEN PLAINS
52,3691,BARANDUDA,27170,WODONGA
53,3463,BARINGHUP,25430,MOUNT ALEXANDER
54,3688,BARNAWARTHA,23350,INDIGO
55,3227,BARWON HEADS,22750,GREATER GEELONG
56,3911,BAXTER,25340,MORNINGTON PENINSULA
57,3981,BAYLES,21450,CARDINIA
58,3153,BAYSWATER,23670,KNOX
59,3153,BAYSWATER NORTH,24410,MAROONDAH
60,3807,BEACONSFIELD,21450,CARDINIA
61,3808,BEACONSFIELD UPPER,21450,CARDINIA
62,3475,BEALIBA,21670,CENTRAL GOLDFIELDS
63,3373,BEAUFORT,25990,PYRENEES
64,3193,BEAUMARIS,20910,BAYSIDE
65,3251,BEEAC,21750,COLAC OTWAY
66,3747,BEECHWORTH,23350,INDIGO
67,3160,BELGRAVE,27450,YARRA RANGES
68,3160,BELGRAVE HEIGHTS,27450,YARRA RANGES
69,3160,BELGRAVE SOUTH,27450,YARRA RANGES
70,3215,BELL PARK,22750,GREATER GEELONG
71,3215,BELL POST HILL,22750,GREATER GEELONG
72,3228,BELLBRAE,26490,SURF COAST
73,3081,BELLFIELD,20660,BANYULE
74,3216,BELMONT,22750,GREATER GEELONG
75,3672,BENALLA,21010,BENALLA
76,3550,BENDIGO,22620,GREATER BENDIGO
77,3550,BENDIGO NORTH,22620,GREATER BENDIGO
78,3125,BENNETTSWOOD,26980,WHITEHORSE
79,3204,BENTLEIGH,22310,GLEN EIRA
80,3165,BENTLEIGH EAST,22310,GLEN EIRA
81,3806,BERWICK,21610,CASEY
82,3691,BETHANGA,26670,TOWONG
83,3395,BEULAH,27630,YARRIAMBIACK
84,3590,BEVERFORD,26610,SWAN HILL
85,3753,BEVERIDGE,24850,MITCHELL
86,3555,BIG HILL,22620,GREATER BENDIGO
87,3483,BIRCHIP,21270,BULOKE
88,3242,BIRREGURRA,21750,COLAC OTWAY
89,3918,BITTERN,25340,MORNINGTON PENINSULA
90,3193,BLACK ROCK,20910,BAYSIDE
91,3130,BLACKBURN,26980,WHITEHORSE
92,3130,BLACKBURN NORTH,26980,WHITEHORSE
93,3130,BLACKBURN SOUTH,26980,WHITEHORSE
94,3352,BLOWHARD,20570,BALLARAT
95,3699,BOGONG,20110,ALPINE
96,3860,BOISDALE,26810,WELLINGTON
97,3432,BOLINDA,24130,MACEDON RANGES
98,3305,BOLWARRA,22410,GLENELG
99,3820,BONA VISTA,20830,BAW BAW
100,3196,BONBEACH,23430,KINGSTON
101,3939,BONEO,25340,MORNINGTON PENINSULA
102,3870,BOOLARRA,23810,LATROBE
103,3537,BOORT,23940,LODDON
104,3155,BORONIA,23670,KNOX
105,3128,BOX HILL,26980,WHITEHORSE
106,3129,BOX HILL NORTH,26980,WHITEHORSE
107,3128,BOX HILL SOUTH,26980,WHITEHORSE
108,3302,BRANXHOLME,26260,SOUTHERN GRAMPIANS
109,3019,BRAYBROOK,24330,MARIBYRNONG
110,3860,BRIAGOLONG,26810,WELLINGTON
111,3088,BRIAR HILL,20660,BANYULE
112,3516,BRIDGEWATER ON LODDON,23940,LODDON
113,3741,BRIGHT,20110,ALPINE
114,3186,BRIGHTON,20910,BAYSIDE
115,3187,BRIGHTON EAST,20910,BAYSIDE
116,3658,BROADFORD,24850,MITCHELL
117,3047,BROADMEADOWS,23270,HUME
118,3673,BROKEN CREEK,21010,BENALLA
119,3012,BROOKLYN,23110,HOBSONS BAY
120,3350,BROWN HILL,20570,BALLARAT
121,3056,BRUNSWICK,25250,MORELAND
122,3057,BRUNSWICK EAST,25250,MORELAND
123,3056,BRUNSWICK NORTH,25250,MORELAND
124,3055,BRUNSWICK WEST,25250,MORELAND
125,3885,BRUTHEN,22110,EAST GIPPSLAND
126,3375,BUANGOR,20260,ARARAT
127,3885,BUCHAN,22110,EAST GIPPSLAND
128,3461,BULLARTO,22910,HEPBURN
129,3105,BULLEEN,24210,MANNINGHAM
130,3821,BULN BULN,20830,BAW BAW
131,3851,BUNDALAGUAH,26810,WELLINGTON
132,3083,BUNDOORA,27070,WHITTLESEA
133,3352,BUNGAREE,25150,MOORABOOL
134,3357,BUNINYONG,20570,BALLARAT
135,3815,BUNYIP,21450,CARDINIA
136,3023,BURNSIDE HEIGHTS,24650,MELTON
137,3125,BURWOOD,26980,WHITEHORSE
138,3151,BURWOOD EAST,26980,WHITEHORSE
139,3711,BUXTON,25620,MURRINDINDI
140,3505,CABARITA,24780,MILDURA
141,3023,CAIRNLEA,21180,BRIMBANK
142,3556,CALIFORNIA GULLY,22620,GREATER BENDIGO
143,3124,CAMBERWELL,21110,BOROONDARA
144,3124,CAMBERWELL EAST,21110,BOROONDARA
145,3061,CAMPBELLFIELD,23270,HUME
146,3451,CAMPBELLS CREEK,25430,MOUNT ALEXANDER
147,3260,CAMPERDOWN,21830,CORANGAMITE
148,3890,CANN RIVER,22110,EAST GIPPSLAND
